# type \t  id  \t   name  	   x  \t   \y   \t  kind \t ...
intersection	Source	Source	48.83057	-6.5958924	Source
turn	R122	1	right merge to lane 1	R3	1
turn	R122	0	right merge to lane 0	R3	0
turn	R122	0	right merge to lane 1	R3	1
turn	R5	1	right merge to lane 0	R80	0
turn	R5	1	right merge to lane 1	R80	1
turn	R5	0	right merge to lane 0	R80	0
turn	R5	0	right merge to lane 1	R80	1
turn	R79	1	left merge to lane 0	R0	0
turn	R79	1	left merge to lane 1	R0	1
turn	R79	0	left merge to lane 0	R0	0
turn	R79	0	left merge to lane 1	R0	1
turn	R25	0	left merge to lane 0	R26	0
turn	R25	0	left merge to lane 1	R26	1
turn	R27	0	right	R24	0
turn	R27	1	right	R24	0
turn	R9	1	forward merge to lane 0	R18	0
turn	R9	1	forward merge to lane 1	R18	1
turn	R9	1	right	R10	0
turn	R11	0	left merge to lane 0	R8	0
turn	R11	0	left merge to lane 1	R8	1
turn	R11	0	right merge to lane 0	R18	0
turn	R11	0	right merge to lane 1	R18	1
turn	R9	0	forward merge to lane 0	R18	0
turn	R9	0	forward merge to lane 1	R18	1
turn	R9	0	right	R10	0
turn	R19	1	forward merge to lane 0	R8	0
turn	R19	1	forward merge to lane 1	R8	1
turn	R19	1	left	R10	0
turn	R19	0	forward merge to lane 0	R8	0
turn	R19	0	forward merge to lane 1	R8	1
turn	R19	0	left	R10	0
turn	R6	0	forward	R22	0
turn	R6	0	left	R13	0
turn	R12	0	right	R7	0
turn	R12	0	left	R22	0
turn	R21	0	forward	R7	0
turn	R21	0	right	R13	0
turn	R10	0	right	R12	0
turn	R10	0	left	R14	0
turn	R15	0	right	R11	0
turn	R15	0	forward	R12	0
turn	R13	0	left	R11	0
turn	R13	0	forward	R14	0
turn	R32	0	left	R15	0
turn	R32	0	forward	R16	0
turn	R17	0	right	R15	0
turn	R17	0	forward	R33	0
turn	R14	0	right	R33	0
turn	R14	0	left	R16	0
turn	R18	0	forward merge to lane 0	R129	0
turn	R18	0	forward merge to lane 1	R129	1
turn	R18	0	right	R17	0
turn	R18	1	forward merge to lane 0	R129	0
turn	R18	1	forward merge to lane 1	R129	1
turn	R18	1	right	R17	0
turn	R128	1	forward merge to lane 0	R19	0
turn	R128	1	forward merge to lane 1	R19	1
turn	R128	1	left	R17	0
turn	R128	0	forward merge to lane 0	R19	0
turn	R128	0	forward merge to lane 1	R19	1
turn	R128	0	left	R17	0
turn	R16	0	left merge to lane 0	R19	0
turn	R16	0	left merge to lane 1	R19	1
turn	R16	0	right merge to lane 0	R129	0
turn	R16	0	right merge to lane 1	R129	1
turn	R129	0	forward merge to lane 0	R127	0
turn	R129	0	forward merge to lane 1	R127	1
turn	R129	0	right	R139	0
turn	R126	1	forward merge to lane 0	R128	0
turn	R126	1	forward merge to lane 1	R128	1
turn	R126	1	left	R139	0
turn	R129	1	forward merge to lane 0	R127	0
turn	R129	1	forward merge to lane 1	R127	1
turn	R129	1	right	R139	0
turn	R126	0	forward merge to lane 0	R128	0
turn	R126	0	forward merge to lane 1	R128	1
turn	R126	0	left	R139	0
turn	R138	0	left merge to lane 0	R128	0
turn	R138	0	left merge to lane 1	R128	1
turn	R138	0	right merge to lane 0	R127	0
turn	R138	0	right merge to lane 1	R127	1
turn	R144	0	left merge to lane 0	R126	0
turn	R144	0	left merge to lane 1	R126	1
turn	R144	0	right merge to lane 0	R125	0
turn	R144	0	right merge to lane 1	R125	1
turn	R124	0	forward merge to lane 0	R126	0
turn	R124	0	forward merge to lane 1	R126	1
turn	R124	0	left	R145	0
turn	R127	0	forward merge to lane 0	R125	0
turn	R127	0	forward merge to lane 1	R125	1
turn	R127	0	right	R145	0
turn	R127	1	forward merge to lane 0	R125	0
turn	R127	1	forward merge to lane 1	R125	1
turn	R127	1	right	R145	0
turn	R124	1	forward merge to lane 0	R126	0
turn	R124	1	forward merge to lane 1	R126	1
turn	R124	1	left	R145	0
turn	R125	1	forward merge to lane 0	R122	0
turn	R125	1	forward merge to lane 1	R122	1
turn	R125	1	right	R116	0
turn	R123	0	forward merge to lane 0	R124	0
turn	R123	0	forward merge to lane 1	R124	1
turn	R123	0	left	R116	0
turn	R123	1	forward merge to lane 0	R124	0
turn	R123	1	forward merge to lane 1	R124	1
turn	R123	1	left	R116	0
turn	R121	0	left merge to lane 0	R124	0
turn	R121	0	left merge to lane 1	R124	1
turn	R121	0	right merge to lane 0	R122	0
turn	R121	0	right merge to lane 1	R122	1
turn	R125	0	forward merge to lane 0	R122	0
turn	R125	0	forward merge to lane 1	R122	1
turn	R125	0	right	R116	0
turn	R116	0	forward	R151	0
turn	R116	0	left	R117	0
turn	R120	0	right	R121	0
turn	R120	0	left	R151	0
turn	R150	0	forward	R121	0
turn	R150	0	right	R117	0
turn	R104	0	forward	R155	0
turn	R104	0	left	R107	0
turn	R154	0	forward	R105	0
turn	R154	0	right	R107	0
turn	R106	0	left	R155	0
turn	R106	0	right	R105	0
turn	R105	0	forward	R134	0
turn	R105	0	right	R103	0
turn	R135	0	forward	R104	0
turn	R135	0	left	R103	0
turn	R102	0	right	R134	0
turn	R102	0	left	R104	0
turn	R119	0	left	R146	0
turn	R119	0	forward	R120	0
turn	R117	0	right	R146	0
turn	R117	0	forward	R118	0
turn	R147	0	right	R118	0
turn	R147	0	left	R120	0
turn	R3	0	forward merge to lane 0	R4	0
turn	R3	0	forward merge to lane 1	R4	1
turn	R3	0	right	R119	0
turn	R118	0	left merge to lane 0	R2	0
turn	R118	0	left merge to lane 1	R2	1
turn	R118	0	right merge to lane 0	R4	0
turn	R118	0	right merge to lane 1	R4	1
turn	R1	1	forward merge to lane 0	R2	0
turn	R1	1	forward merge to lane 1	R2	1
turn	R1	1	left	R119	0
turn	R3	1	forward merge to lane 0	R4	0
turn	R3	1	forward merge to lane 1	R4	1
turn	R3	1	right	R119	0
turn	R1	0	forward merge to lane 0	R2	0
turn	R1	0	forward merge to lane 1	R2	1
turn	R1	0	left	R119	0
turn	R156	0	right merge to lane 0	R1	0
turn	R156	0	right merge to lane 1	R1	1
turn	R156	0	left merge to lane 0	R5	0
turn	R156	0	left merge to lane 1	R5	1
turn	R156	0	forward	R135	0
turn	R0	0	forward merge to lane 0	R1	0
turn	R0	0	forward merge to lane 1	R1	1
turn	R0	0	left	R135	0
turn	R134	0	left merge to lane 0	R1	0
turn	R134	0	left merge to lane 1	R1	1
turn	R134	0	right merge to lane 0	R5	0
turn	R134	0	right merge to lane 1	R5	1
turn	R4	1	forward merge to lane 0	R5	0
turn	R4	1	forward merge to lane 1	R5	1
turn	R4	1	right	R135	0
turn	R0	1	forward merge to lane 0	R1	0
turn	R0	1	forward merge to lane 1	R1	1
turn	R0	1	left	R135	0
turn	R4	0	forward merge to lane 0	R5	0
turn	R4	0	forward merge to lane 1	R5	1
turn	R4	0	right	R135	0
turn	R75	1	forward merge to lane 0	R79	0
turn	R75	1	forward merge to lane 1	R79	1
turn	R75	1	left	R77	0
turn	R80	0	forward merge to lane 0	R76	0
turn	R80	0	forward merge to lane 1	R76	1
turn	R80	0	right	R77	0
turn	R78	0	right merge to lane 0	R76	0
turn	R78	0	right merge to lane 1	R76	1
turn	R78	0	left merge to lane 0	R79	0
turn	R78	0	left merge to lane 1	R79	1
turn	R80	1	forward merge to lane 0	R76	0
turn	R80	1	forward merge to lane 1	R76	1
turn	R80	1	right	R77	0
turn	R75	0	forward merge to lane 0	R79	0
turn	R75	0	forward merge to lane 1	R79	1
turn	R75	0	left	R77	0
turn	R74	1	forward merge to lane 0	R75	0
turn	R74	1	forward merge to lane 1	R75	1
turn	R74	1	left	R72	0
turn	R76	0	forward merge to lane 0	R73	0
turn	R76	0	forward merge to lane 1	R73	1
turn	R76	0	right	R72	0
turn	R76	1	forward merge to lane 0	R73	0
turn	R76	1	forward merge to lane 1	R73	1
turn	R76	1	right	R72	0
turn	R74	0	forward merge to lane 0	R75	0
turn	R74	0	forward merge to lane 1	R75	1
turn	R74	0	left	R72	0
turn	R71	0	right merge to lane 0	R73	0
turn	R71	0	right merge to lane 1	R73	1
turn	R71	0	left merge to lane 0	R75	0
turn	R71	0	left merge to lane 1	R75	1
turn	R63	0	right merge to lane 0	R60	0
turn	R63	0	right merge to lane 1	R60	1
turn	R63	0	left merge to lane 0	R74	0
turn	R63	0	left merge to lane 1	R74	1
turn	R59	0	forward merge to lane 0	R74	0
turn	R59	0	forward merge to lane 1	R74	1
turn	R59	0	left	R64	0
turn	R73	0	forward merge to lane 0	R60	0
turn	R73	0	forward merge to lane 1	R60	1
turn	R73	0	right	R64	0
turn	R59	1	forward merge to lane 0	R74	0
turn	R59	1	forward merge to lane 1	R74	1
turn	R59	1	left	R64	0
turn	R73	1	forward merge to lane 0	R60	0
turn	R73	1	forward merge to lane 1	R60	1
turn	R73	1	right	R64	0
turn	R56	0	forward merge to lane 0	R59	0
turn	R56	0	forward merge to lane 1	R59	1
turn	R56	0	left	R54	0
turn	R60	0	forward merge to lane 0	R55	0
turn	R60	0	forward merge to lane 1	R55	1
turn	R60	0	right	R54	0
turn	R56	1	forward merge to lane 0	R59	0
turn	R56	1	forward merge to lane 1	R59	1
turn	R56	1	left	R54	0
turn	R53	0	right merge to lane 0	R55	0
turn	R53	0	right merge to lane 1	R55	1
turn	R53	0	left merge to lane 0	R59	0
turn	R53	0	left merge to lane 1	R59	1
turn	R60	1	forward merge to lane 0	R55	0
turn	R60	1	forward merge to lane 1	R55	1
turn	R60	1	right	R54	0
turn	R42	1	left	R43	0
turn	R42	1	forward merge to lane 0	R56	0
turn	R42	1	forward merge to lane 1	R56	1
turn	R44	0	right merge to lane 0	R41	0
turn	R44	0	right merge to lane 1	R41	1
turn	R44	0	left merge to lane 0	R56	0
turn	R44	0	left merge to lane 1	R56	1
turn	R55	0	right	R43	0
turn	R55	0	forward merge to lane 0	R41	0
turn	R55	0	forward merge to lane 1	R41	1
turn	R55	1	right	R43	0
turn	R55	1	forward merge to lane 0	R41	0
turn	R55	1	forward merge to lane 1	R41	1
turn	R42	0	left	R43	0
turn	R42	0	forward merge to lane 0	R56	0
turn	R42	0	forward merge to lane 1	R56	1
turn	R41	1	forward merge to lane 0	R27	0
turn	R41	1	forward merge to lane 1	R27	1
turn	R41	1	right	R28	0
turn	R41	0	forward merge to lane 0	R27	0
turn	R41	0	forward merge to lane 1	R27	1
turn	R41	0	right	R28	0
turn	R26	0	forward merge to lane 0	R42	0
turn	R26	0	forward merge to lane 1	R42	1
turn	R26	0	left	R28	0
turn	R40	0	right merge to lane 0	R27	0
turn	R40	0	right merge to lane 1	R27	1
turn	R40	0	left merge to lane 0	R42	0
turn	R40	0	left merge to lane 1	R42	1
turn	R26	1	forward merge to lane 0	R42	0
turn	R26	1	forward merge to lane 1	R42	1
turn	R26	1	left	R28	0
turn	R28	0	left	R29	0
turn	R28	0	right	R38	0
turn	R30	0	right	R40	0
turn	R30	0	forward	R38	0
turn	R39	0	left	R40	0
turn	R39	0	forward	R29	0
turn	R29	0	right	R31	0
turn	R29	0	left	R25	0
turn	R24	0	forward	R31	0
turn	R24	0	right	R30	0
turn	R23	0	forward	R25	0
turn	R23	0	left	R30	0
turn	R36	0	forward	R44	0
turn	R36	0	right	R39	0
turn	R36	0	left	R45	0
turn	R38	0	left	R37	0
turn	R38	0	right	R44	0
turn	R38	0	forward	R45	0
turn	R46	0	right	R37	0
turn	R46	0	left	R44	0
turn	R46	0	forward	R39	0
turn	R43	0	forward	R37	0
turn	R43	0	left	R39	0
turn	R43	0	right	R45	0
turn	R31	0	forward	R21	0
turn	R31	0	right	R153	0
turn	R20	0	right	R21	0
turn	R20	0	left	R23	0
turn	R22	0	forward	R23	0
turn	R22	0	left	R153	0
turn	R34	0	forward	R36	0
turn	R34	0	right	R20	0
turn	R37	0	forward	R35	0
turn	R37	0	left	R20	0
turn	R153	0	left	R35	0
turn	R153	0	right	R36	0
turn	R88	0	right	R32	0
turn	R88	0	left	R34	0
turn	R33	0	forward	R34	0
turn	R33	0	left	R89	0
turn	R35	0	forward	R32	0
turn	R35	0	right	R89	0
turn	R101	0	left	R106	0
turn	R101	0	forward	R99	0
turn	R107	0	right	R100	0
turn	R107	0	left	R99	0
turn	R98	0	right	R106	0
turn	R98	0	forward	R100	0
turn	R58	0	right	R52	0
turn	R58	0	forward	R53	0
turn	R54	0	forward	R52	0
turn	R54	0	forward	R57	0
turn	R47	0	left	R57	0
turn	R47	0	forward	R53	0
turn	R52	0	left	R46	0
turn	R52	0	right	R48	0
turn	R45	0	right	R47	0
turn	R45	0	forward	R48	0
turn	R49	0	left	R47	0
turn	R49	0	forward	R46	0
turn	R81	0	right	R49	0
turn	R81	0	left	R50	0
turn	R48	0	left	R83	0
turn	R48	0	forward	R50	0
turn	R51	0	right	R83	0
turn	R51	0	forward	R49	0
turn	R62	0	left	R58	0
turn	R62	0	forward	R51	0
turn	R57	0	left	R51	0
turn	R57	0	right	R61	0
turn	R50	0	right	R58	0
turn	R50	0	forward	R61	0
turn	R69	0	left	R63	0
turn	R69	0	forward	R62	0
turn	R64	0	left	R62	0
turn	R64	0	right	R70	0
turn	R61	0	right	R63	0
turn	R61	0	forward	R70	0
turn	R70	0	right	R71	0
turn	R70	0	forward	R68	0
turn	R72	0	right	R68	0
turn	R72	0	left	R69	0
turn	R67	0	left	R71	0
turn	R67	0	forward	R69	0
turn	R68	0	right	R78	0
turn	R68	0	forward	R66	0
turn	R65	0	left	R78	0
turn	R65	0	forward	R67	0
turn	R77	0	right	R66	0
turn	R77	0	left	R67	0
turn	R66	0	left	R98	0
turn	R66	0	forward	R102	0
turn	R103	0	right	R98	0
turn	R103	0	forward	R65	0
turn	R99	0	right	R65	0
turn	R99	0	left	R102	0
turn	R100	0	right	R95	0
turn	R100	0	forward	R97	0
turn	R94	0	right	R97	0
turn	R94	0	left	R101	0
turn	R96	0	left	R95	0
turn	R96	0	forward	R101	0
turn	R84	0	left	R91	0
turn	R84	0	forward	R96	0
turn	R97	0	right	R91	0
turn	R97	0	forward	R85	0
turn	R90	0	right	R85	0
turn	R90	0	left	R96	0
turn	R83	0	forward	R152	0
turn	R83	0	right	R84	0
turn	R86	0	forward	R81	0
turn	R86	0	left	R84	0
turn	R85	0	right	R152	0
turn	R85	0	left	R81	0
turn	R89	0	forward	R93	0
turn	R89	0	right	R86	0
turn	R89	0	left	R110	0
turn	R152	0	right	R93	0
turn	R152	0	left	R88	0
turn	R152	0	forward	R110	0
turn	R109	0	left	R93	0
turn	R109	0	right	R88	0
turn	R109	0	forward	R86	0
turn	R115	0	forward	R88	0
turn	R115	0	left	R86	0
turn	R115	0	right	R110	0
turn	R155	0	forward	R133	0
turn	R155	0	right	R143	0
turn	R130	0	forward	R154	0
turn	R130	0	left	R143	0
turn	R142	0	left	R154	0
turn	R142	0	right	R133	0
turn	R133	0	right	R112	0
turn	R133	0	left	R113	0
turn	R111	0	forward	R113	0
turn	R111	0	left	R130	0
turn	R114	0	forward	R112	0
turn	R114	0	right	R130	0
turn	R137	0	forward	R111	0
turn	R137	0	forward	R109	0
turn	R112	0	forward	R136	0
turn	R112	0	left	R109	0
turn	R110	0	forward	R136	0
turn	R110	0	right	R111	0
turn	R136	0	forward	R138	0
turn	R136	0	right	R140	0
turn	R141	0	right	R138	0
turn	R141	0	left	R137	0
turn	R139	0	left	R140	0
turn	R139	0	forward	R137	0
turn	R145	0	right	R141	0
turn	R145	0	forward	R142	0
turn	R143	0	left	R141	0
turn	R143	0	forward	R144	0
turn	R140	0	left	R144	0
turn	R140	0	right	R142	0
turn	R148	0	right	R150	0
turn	R151	0	left	R149	0
turn	R146	0	right	R148	0
turn	R149	0	left	R147	0
